X	Row.names	T8_LG_p_val	T8_LG_avg_logFC	T8_LG_pct.1	T8_LG_pct.2	T8_LG_p_val_adj	keggList..spu..	ID	gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	V1	uniprot	u_ev	spurAcc	s_ev	spID02	sp_ecb	dmel	dmel_ev	cel_ID	cel_ev	cel_sym	HitAcc	HitDesc	E.Value
26824	LOC753921	2.55e-14	1.231916539	0.957	0.419	5.56e-10	protein FAM50A isoform X1	spu:753921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23343	LOC587995	5.84e-14	1.23161448	0.826	0.259	1.27e-9	roundabout homolog 1 isoform X1	spu:587995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21540	LOC583658	1.85e-14	1.229899139	0.696	0.174	4.04e-10	zinc finger protein ubi-d4 isoform X2	spu:583658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25202	LOC592290	1.38e-11	1.227719866	0.783	0.284	3e-7	serine/arginine repetitive matrix protein 1 isoform X1	spu:592290	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19482	LOC579592	6.44e-7	1.18899004	0.609	0.268	0.014052372	centrosomal protein of 164 kDa isoform X1	spu:579592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25140	LOC592172	8.6e-8	1.170178368	0.87	0.641	0.001877455	centromere protein F	spu:592172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19500	LOC579629	1.87e-12	1.167093881	0.826	0.265	4.09e-8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23561	LOC588549	1.55e-10	1.158638092	0.783	0.297	3.38e-6	serine/arginine repetitive matrix protein 2	spu:588549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3681	LOC100893744	4.68e-48	1.151522599	0.348	0.012	1.02e-43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21161	LOC582833	1.44e-10	1.147525803	0.826	0.369	3.15e-6	titin	spu:582833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17954	LOC576796	2.1e-8	1.145152316	0.826	0.453	4.58888e-4	nucleolar and spindle-associated protein 1-A isoform X2	spu:576796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24347	LOC590359	1.1e-9	1.143349015	0.739	0.316	2.4e-5	SNW domain-containing protein 1	spu:590359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19213	LOC579091	5.7e-5	1.137909764	0.435	0.179	1	kinesin-like protein KIF20B isoform X1	spu:579091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20140	LOC580818	2.21e-11	1.129001514	0.913	0.445	4.83e-7	AT-rich interactive domain-containing protein 1A isoform X1	spu:580818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20555	LOC581625	5.67e-13	1.124294807	0.696	0.188	1.24e-8	helicase-like transcription factor isoform X1	spu:581625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24549	LOC590836	3e-79	1.119229221	0.435	0.011	6.5400000000000005e-75	probable GPI-anchored adhesin-like protein PGA55	spu:590836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16629	LOC373434	1.32e-25	1.115055003	0.565	0.062	2.89e-21	seawi	spu:373434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25317	LOC592550	7.18e-11	1.107882856	0.913	0.463	1.57e-6	WD repeat-containing protein 43	spu:592550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2882	LOC100892388	3e-16	1.102730987	0.826	0.229	6.54e-12	uncharacterized protein LOC100892388 isoform X2	spu:100892388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23822	LOC589170	7.15e-8	1.100280057	0.87	0.561	0.001560994	inhibitor of growth protein 4 isoform X1	spu:589170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21208	LOC582923	3.6e-6	1.090644839	0.609	0.296	0.078660687000000007	serine/threonine-protein kinase tricorner	spu:582923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24376	LOC590442	1.35e-8	1.087112341	0.783	0.373	2.94161e-4	protein LSM12 homolog B isoform X2	spu:590442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
101	LOC100887863	2.54e-34	1.085657418	0.565	0.046	5.55e-30	tudor domain-containing protein 1 isoform X2	spu:100887863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28155	LOC764366	1.85e-12	1.082502837	0.783	0.261	4.04e-8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25990	LOC594186	3.87e-13	1.08009673	1	0.788	8.45e-9	small ubiquitin-related modifier 3	spu:594186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17315	LOC575632	2.72e-12	1.077296567	0.826	0.294	5.93e-8	ribosome biogenesis regulatory protein homolog	spu:575632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25662	LOC593337	5.47e-39	1.062612622	0.391	0.019	1.19e-34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19211	LOC579087	9.44e-20	1.06106514	0.522	0.067	2.06e-15	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_019921036.1_4456	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19211	LOC579087	9.44e-20	1.06106514	0.522	0.067	2.06e-15	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_019921047.1_4457	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19211	LOC579087	9.44e-20	1.06106514	0.522	0.067	2.06e-15	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421885.1_4458	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19211	LOC579087	9.44e-20	1.06106514	0.522	0.067	2.06e-15	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421893.1_4459	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19211	LOC579087	9.44e-20	1.06106514	0.522	0.067	2.06e-15	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421907.1_4460	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19211	LOC579087	9.44e-20	1.06106514	0.522	0.067	2.06e-15	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421915.1_4461	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19211	LOC579087	9.44e-20	1.06106514	0.522	0.067	2.06e-15	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421923.1_4462	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19211	LOC579087	9.44e-20	1.06106514	0.522	0.067	2.06e-15	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421929.1_4463	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
