gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	V1	uniprot	u_ev	spurAcc	s_ev	spID02	sp_ecb	sp_sym	dmel	dmel_ev	cel_ID	cel_ev	cel_sym	HitAcc	HitDesc	E.Value
LOC105336169	A-kinase anchor protein 9	2	0.171189802252716	2.24351453077495	0.701581027667984	0.244005746309505	0.123948667406918	4.57216505027001e-63	1.81878896833721e-57	lcl|NW_011934767.1_cds_XP_019925990.1_1802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	XP_019925990.1	PREDICTED: golgin subfamily B member 1 isoform X2 [Crassostrea gigas]	0
LOC105340121	porphobilinogen deaminase	7	0.205408842479246	2.31588651771752	0.863445378151261	0.237894425839711	0.243204552079193	2.55629322185864e-87	1.01688321848248e-81	lcl|NW_011934802.1_cds_XP_011444315.1_2346	sp|Q2KIN5|HEM3_BOVIN	9.18e-132	XP_781025.2	1.64e-108	390333070	ECB-GENE-23031030	LOC575537	FBgn0010786	1.97e-7	NA	NA	NA	XP_011444315.1	PREDICTED: porphobilinogen deaminase [Crassostrea gigas]	0
LOC105341425	dynein intermediate chain 2	8	0.349207746528326	1.7609499227756	0.932721712538226	0.374396502015615	0.554107618483241	1.21591519351152e-164	4.8368620031811e-159	lcl|NW_011934818.1_cds_XP_011446283.1_2525	sp|Q16959|DYI2_HELCR	0	XP_030833320.1	0	1752411713	ECB-GENE-23192360	LOC100893413	NA	NA	C17H12.1.1	3.47e-25	dyci-1	XP_011446283.1	PREDICTED: dynein intermediate chain 2, ciliary isoform X3 [Crassostrea gigas]	0
LOC105341425	dynein intermediate chain 2	8	0.349207746528326	1.7609499227756	0.932721712538226	0.374396502015615	0.554107618483241	1.21591519351152e-164	4.8368620031811e-159	lcl|NW_011934818.1_cds_XP_011446290.1_2526	sp|Q16959|DYI2_HELCR	0	XP_030833318.1	0	1752411711	ECB-GENE-23192360	LOC100893413	NA	NA	C17H12.1.1	2.68e-25	dyci-1	XP_011446265.1	PREDICTED: dynein intermediate chain 2, ciliary isoform X1 [Crassostrea gigas]	0
LOC105341425	dynein intermediate chain 2	8	0.349207746528326	1.7609499227756	0.932721712538226	0.374396502015615	0.554107618483241	1.21591519351152e-164	4.8368620031811e-159	lcl|NW_011934818.1_cds_XP_011446265.1_2527	sp|Q16959|DYI2_HELCR	0	XP_030833318.1	0	1752411711	ECB-GENE-23192360	LOC100893413	NA	NA	C17H12.1.1	3.26e-25	dyci-1	XP_011446265.1	PREDICTED: dynein intermediate chain 2, ciliary isoform X1 [Crassostrea gigas]	0
LOC105341425	dynein intermediate chain 2	8	0.349207746528326	1.7609499227756	0.932721712538226	0.374396502015615	0.554107618483241	1.21591519351152e-164	4.8368620031811e-159	lcl|NW_011934818.1_cds_XP_011446273.1_2528	sp|Q16959|DYI2_HELCR	0	XP_030833318.1	0	1752411711	ECB-GENE-23192360	LOC100893413	NA	NA	C17H12.1.1	3.23e-25	dyci-1	XP_011446273.1	PREDICTED: dynein intermediate chain 2, ciliary isoform X2 [Crassostrea gigas]	0
LOC105342756	coiled-coil domain-containing protein 47	9	0.207228223779174	5.53361758179108	0.915322580645161	0.226399116727908	0.240703023968319	1.39092732589904e-60	5.53305326533333e-55	lcl|NW_011934831.1_cds_XP_011448089.1_2691	sp|Q66I12|CCD47_DANRE	4.48e-104	XP_030846364.1	2.02e-95	1752373237	ECB-GENE-23101812	LOC577969	FBgn0031544	4.18e-17	ZK1058.4.2	8.27e-65	ccdc-47	XP_011448089.1	PREDICTED: coiled-coil domain-containing protein 47 [Crassostrea gigas]	0
LOC105348069	transcription factor Sox-2	5	0.244121349692141	5.93333984876949	0.981818181818182	0.248642115427181	0.385610673572321	3.22155121284001e-157	1.2815201862629e-151	lcl|NW_011934892.1_cds_XP_011455662.1_3383	sp|P48430|SOX2_CHICK	1.67e-74	NP_999639.1	5.41e-55	47550931	ECB-GENE-23054149	SoxB1	FBgn0029123	1.81e-32	K08A8.2a.3	4.49e-51	sox-2	XP_011455662.1	PREDICTED: transcription factor Sox-2 [Crassostrea gigas]	0
LOC105319534	uncharacterized LOC105319534	14	0.705784706206484	8.13998178889559	1	0.705784706206484	0.952762677541383	4.36532601758867e-54	1.7365092284927e-48	lcl|NW_011934939.1_cds_XP_011415424.1_3856	sp|Q5JXM2|MET24_HUMAN	2.81e-12	NA	NA	NA	NA	NA	NA	NA	F28A10.5.1	3.3e-11	F28A10.5	XP_011415424.1	PREDICTED: uncharacterized protein LOC105319534 [Crassostrea gigas]	0
LOC105323051	transcription factor Sp5	11	0.383722709372628	0.777216445302425	0.732718894009217	0.523697031030568	0.474815834160413	2.65243785078139e-110	1.05512916728943e-104	lcl|NW_011934985.1_cds_XP_011420310.1_4287	sp|Q6BEB4|SP5_HUMAN	3.3e-61	XP_789110.2	2.26e-57	1752403548	ECB-GENE-23176687	LOC584138	FBgn0039169	3.11e-17	Y40B1A.4.1	5.48e-40	sptf-3	XP_011420310.1	PREDICTED: transcription factor Sp5 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_019921036.1_4456	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_019921047.1_4457	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421885.1_4458	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421893.1_4459	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421907.1_4460	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421915.1_4461	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421923.1_4462	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421929.1_4463	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421937.1_4464	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421944.1_4465	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421953.1_4466	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421970.1_4467	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	7.26e-17	R13F6.4e.1	0	ten-1	XP_011421970.1	PREDICTED: teneurin-m isoform X2 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421977.1_4468	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	7.25e-17	R13F6.4d.1	0	ten-1	XP_011421977.1	PREDICTED: teneurin-m isoform X3 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421988.1_4469	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	7.09e-17	R13F6.4a.1	3.36e-178	ten-1	XP_011421988.1	PREDICTED: teneurin-m isoform X4 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421994.1_4470	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	7.06e-17	R13F6.4a.1	0	ten-1	XP_011421994.1	PREDICTED: teneurin-m isoform X5 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_019921058.1_4471	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	6.9e-17	R13F6.4a.1	6.5e-163	ten-1	XP_019921058.1	PREDICTED: teneurin-2 isoform X7 [Crassostrea gigas]	0
LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011422001.1_4472	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	LOC579087	FBgn0004449	6.99e-17	R13F6.4e.1	0	ten-1	XP_011422001.1	PREDICTED: teneurin-m isoform X6 [Crassostrea gigas]	0
LOC105325414	uncharacterized LOC105325414	6	0.352044280256622	3.21407123361076	0.7818853974122	0.450250486096531	0.448368269858264	1.0048084491299e-173	3.99708781830078e-168	lcl|NW_011934997.1_cds_XP_011423266.1_4599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	XP_011423266.1	PREDICTED: uncharacterized protein LOC105325414 [Crassostrea gigas]	0
LOC105325948	transient receptor potential cation channel subfamily M member 2	3	0.133418336108552	2.04858117923261	0.702819956616052	0.189832879463094	0.086433952759574	1.16363447355489e-42	4.62889139042242e-37	lcl|NW_011935018.1_cds_XP_019921765.1_4824	sp|P34641|CED11_CAEEL	6.9e-43	XP_030829334.1	4.38e-39	1752401565	ECB-GENE-23161245	LOC754831	NA	NA	ZK512.3.1	5.47e-44	ced-11	XP_019921765.1	PREDICTED: transient receptor potential cation channel subfamily M member 2 [Crassostrea gigas]	0
