X	Row.names	p_val	avg_logFC	pct.1	pct.2	p_val_adj	keggList..spu..	ID	gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	V1	uniprot	u_ev	spurAcc	s_ev	spID02	sp_ecb	dmel	dmel_ev	cel_ID	cel_ev	cel_sym	HitAcc	HitDesc	E.Value
21893	LOC584503	1.41e-34	1.154000921	0.944	0.475	3.07e-30	spectrin beta chain, non-erythrocytic 1 isoform X1	spu:584503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26258	LOC752135	5.7e-24	1.14626148	0.831	0.457	1.24e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27260	LOC755970	5.4e-31	1.145793346	0.944	0.681	1.18e-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8103	LOC105447187	1.5e-73	1.124907272	0.62	0.07	3.27e-69	uncharacterized protein LOC105447187	spu:105447187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21126	LOC582795	2.9e-29	1.11226079	0.873	0.418	6.32e-25	protein CASC1 isoform X1	spu:582795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16519	LOC373246	1.27e-36	1.102556703	1	0.859	2.77e-32	60S ribosomal protein L18	spu:373246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20199	LOC580957	3.15e-32	1.101866775	0.986	0.82	6.87e-28	60S ribosomal protein L27	spu:580957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21805	LOC584322	2.74e-43	1.097186696	0.93	0.295	5.99e-39	cytoplasmic polyadenylation element-binding protein 2 isoform X2	spu:584322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4811	LOC105438574	2.46e-43	1.072269282	0.887	0.214	5.38e-39	formin-like protein 14	spu:105438574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25094	LOC592098	8.3e-28	1.071873389	0.901	0.565	1.81e-23	60S ribosomal protein L18a	spu:592098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17301	LOC575628	6.92e-41	1.068280291	0.761	0.175	1.51e-36	cyclophilin 1 precursor	spu:575628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24268	LOC590220	2.35e-22	1.059316472	0.817	0.514	5.13e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24959	LOC591809	5.08e-24	1.055595921	0.887	0.531	1.11e-19	60S ribosomal protein L35	spu:591809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8214	LOC105447505	4.05e-35	1.04841572	0.493	0.089	8.84e-31	uncharacterized protein LOC105447505 isoform X4	spu:105447505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_019921036.1_4456	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_019921047.1_4457	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421885.1_4458	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421893.1_4459	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421907.1_4460	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421915.1_4461	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421923.1_4462	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421929.1_4463	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421937.1_4464	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421944.1_4465	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421953.1_4466	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421970.1_4467	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.26e-17	R13F6.4e.1	0	ten-1	XP_011421970.1	PREDICTED: teneurin-m isoform X2 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421977.1_4468	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.25e-17	R13F6.4d.1	0	ten-1	XP_011421977.1	PREDICTED: teneurin-m isoform X3 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421988.1_4469	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.09e-17	R13F6.4a.1	3.36e-178	ten-1	XP_011421988.1	PREDICTED: teneurin-m isoform X4 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011421994.1_4470	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.06e-17	R13F6.4a.1	0	ten-1	XP_011421994.1	PREDICTED: teneurin-m isoform X5 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_019921058.1_4471	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	6.9e-17	R13F6.4a.1	6.5e-163	ten-1	XP_019921058.1	PREDICTED: teneurin-2 isoform X7 [Crassostrea gigas]	0
19200	LOC579087	9.91e-56	1.040506239	0.606	0.089	2.16e-51	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_011422001.1_4472	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	6.99e-17	R13F6.4e.1	0	ten-1	XP_011422001.1	PREDICTED: teneurin-m isoform X6 [Crassostrea gigas]	0
5187	LOC105439514	1.27e-75	1.038839915	0.563	0.055	2.76e-71	uncharacterized protein CG13380-like	spu:105439514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23093	LOC587430	1.36e-20	1.030001551	0.831	0.556	2.97e-16	ATP synthase subunit O, mitochondrial	spu:587430	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24842	LOC591582	8.58e-33	1.028737305	0.986	0.861	1.87e-28	probable 60S ribosomal protein L37-A isoform X1	spu:591582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18709	LOC578151	8.98e-32	1.007051943	0.972	0.826	1.96e-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18072	LOC577040	1.65e-32	1.005661303	0.986	0.844	3.61e-28	40S ribosomal protein S16	spu:577040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
