X	Row.names	p_val	avg_logFC	pct.1	pct.2	p_val_adj	keggList..spu..	ID	X.1	gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	V1	uniprot	u_ev	spurAcc	s_ev	spID02	sp_ecb	dmel	dmel_ev	cel_ID	cel_ev	cel_sym	HitAcc	HitDesc	E.Value
22620	LOC586345	1.6e-38	1.040353425	0.897	0.689	3.5e-34	60S acidic ribosomal protein P2	spu:586345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16575	LOC373382	1.72e-46	1.030284809	0.935	0.609	3.74e-42	mitochondrial ATP synthase alpha subunit precursor	spu:373382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25613	LOC593337	1.85e-54	1.023538323	1	0.999	4.03e-50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28336	rps15a	4.04e-44	1.017401439	0.879	0.491	8.81e-40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4044	LOC105436651	3.04e-39	1.017132323	0.804	0.414	6.63e-35	60S ribosomal protein L14-like isoform X1	spu:105436651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17484	LOC576005	7.74e-57	1.015876033	1	0.971	1.69e-52	voltage-dependent anion-selective channel protein 2	spu:576005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24812	LOC591582	3.65e-54	1.015113469	0.916	0.43	7.96e-50	probable 60S ribosomal protein L37-A isoform X1	spu:591582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23955	LOC589574	5.99e-39	1.011058149	0.85	0.508	1.31e-34	U2 snRNP-associated SURP motif-containing protein	spu:589574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28103	LOC764368	6.83e-42	0.997747414	0.813	0.401	1.49e-37	40S ribosomal protein S8	spu:764368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19143	LOC579026	1.72e-38	0.995782072	0.86	0.527	3.75e-34	40S ribosomal protein S11	spu:579026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18050	LOC577040	8.79e-38	0.967540518	0.804	0.436	1.92e-33	40S ribosomal protein S16	spu:577040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27229	LOC755970	2.65e-46	0.949708626	0.729	0.255	5.78e-42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16555	LOC373350	3e-33	0.928031818	0.841	0.549	6.55e-29	histone H1-gamma, late	spu:373350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25306	LOC592626	1.27e-34	0.924376734	0.832	0.523	2.77e-30	60S ribosomal protein L34-B	spu:592626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23368	LOC588157	1.39e-37	0.907672778	0.692	0.273	3.04e-33	60S ribosomal protein L23a	spu:588157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28332	Nanos2	3.42e-141	0.905265563	0.57	0.036	7.46e-137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	blimp1/krox	2.88e-45	0.904268016	0.963	0.374	6.28e-41	NA	NA	NA	LOC105338218	PR domain zinc finger protein 1	11	0.416270520279275	1.89834704905652	0.870967741935484	0.477940226987316	0.502315004620388	8.82633468071464e-117	3.51108063064956e-111	lcl|NW_011936226.1_cds_XP_011441524.1_21186	sp|O75626|PRDM1_HUMAN	9.99e-76	NP_999739.2	9.15e-58	1791034359	ECB-GENE-23128359	FBgn0035625	3.34e-40	F25D7.3b.1	3.72e-67	blmp-1	XP_011441524.1	PREDICTED: PR domain zinc finger protein 1 isoform X2 [Crassostrea gigas]	0
3	blimp1/krox	2.88e-45	0.904268016	0.963	0.374	6.28e-41	NA	NA	NA	LOC105338218	PR domain zinc finger protein 1	11	0.416270520279275	1.89834704905652	0.870967741935484	0.477940226987316	0.502315004620388	8.82633468071464e-117	3.51108063064956e-111	lcl|NW_011936226.1_cds_XP_011441523.1_21187	sp|O75626|PRDM1_HUMAN	4.17e-76	NP_999739.2	4.07e-58	1791034359	ECB-GENE-23128359	FBgn0035625	3.38e-40	F25D7.3b.1	2.19e-67	blmp-1	XP_011441523.1	PREDICTED: PR domain zinc finger protein 1 isoform X1 [Crassostrea gigas]	0
3	blimp1/krox	2.88e-45	0.904268016	0.963	0.374	6.28e-41	NA	NA	NA	LOC105338218	PR domain zinc finger protein 1	11	0.416270520279275	1.89834704905652	0.870967741935484	0.477940226987316	0.502315004620388	8.82633468071464e-117	3.51108063064956e-111	lcl|NW_011936226.1_cds_XP_011441525.1_21188	sp|O75626|PRDM1_HUMAN	1.02e-75	NP_999739.2	8.08e-58	1791034359	ECB-GENE-23128359	FBgn0035625	3.28e-40	F25D7.3b.1	2.98e-67	blmp-1	XP_011441525.1	PREDICTED: PR domain zinc finger protein 1 isoform X3 [Crassostrea gigas]	0
3	blimp1/krox	2.88e-45	0.904268016	0.963	0.374	6.28e-41	NA	NA	NA	LOC105338218	PR domain zinc finger protein 1	11	0.416270520279275	1.89834704905652	0.870967741935484	0.477940226987316	0.502315004620388	8.82633468071464e-117	3.51108063064956e-111	lcl|NW_011936226.1_cds_XP_011441526.1_21189	sp|O75626|PRDM1_HUMAN	1.28e-76	NP_999739.2	1.57e-58	1791034359	ECB-GENE-23128359	FBgn0035625	2.75e-40	F25D7.3b.1	2.47e-68	blmp-1	XP_011441523.1	PREDICTED: PR domain zinc finger protein 1 isoform X1 [Crassostrea gigas]	0
3	blimp1/krox	2.88e-45	0.904268016	0.963	0.374	6.28e-41	NA	NA	NA	LOC105338218	PR domain zinc finger protein 1	11	0.416270520279275	1.89834704905652	0.870967741935484	0.477940226987316	0.502315004620388	8.82633468071464e-117	3.51108063064956e-111	lcl|NW_011936226.1_cds_XP_011441527.1_21190	sp|O75626|PRDM1_HUMAN	1.28e-76	NP_999739.2	1.57e-58	1791034359	ECB-GENE-23128359	FBgn0035625	2.75e-40	F25D7.3b.1	2.47e-68	blmp-1	XP_011441523.1	PREDICTED: PR domain zinc finger protein 1 isoform X1 [Crassostrea gigas]	0
20819	LOC582174	8.77e-39	0.902719193	1	0.962	1.91e-34	A-kinase anchor protein 9 isoform X1	spu:582174	NA	LOC105336169	A-kinase anchor protein 9	2	0.171189802252716	2.24351453077495	0.701581027667984	0.244005746309505	0.123948667406918	4.57216505027001e-63	1.81878896833721e-57	lcl|NW_011934767.1_cds_XP_019925995.1_1798	sp|Q70FJ1|AKAP9_MOUSE	1.95e-29	XP_030846595.1	1.79e-26	1752373788	ECB-GENE-23103357	NA	NA	NA	NA	NA	XP_019925995.1	PREDICTED: A-kinase anchor protein 9 isoform X5 [Crassostrea gigas]	0
20819	LOC582174	8.77e-39	0.902719193	1	0.962	1.91e-34	A-kinase anchor protein 9 isoform X1	spu:582174	NA	LOC105336169	A-kinase anchor protein 9	2	0.171189802252716	2.24351453077495	0.701581027667984	0.244005746309505	0.123948667406918	4.57216505027001e-63	1.81878896833721e-57	lcl|NW_011934767.1_cds_XP_019925994.1_1799	sp|Q70FJ1|AKAP9_MOUSE	1.96e-29	XP_030846595.1	1.83e-26	1752373788	ECB-GENE-23103357	NA	NA	NA	NA	NA	XP_019925994.1	PREDICTED: A-kinase anchor protein 9 isoform X4 [Crassostrea gigas]	0
20819	LOC582174	8.77e-39	0.902719193	1	0.962	1.91e-34	A-kinase anchor protein 9 isoform X1	spu:582174	NA	LOC105336169	A-kinase anchor protein 9	2	0.171189802252716	2.24351453077495	0.701581027667984	0.244005746309505	0.123948667406918	4.57216505027001e-63	1.81878896833721e-57	lcl|NW_011934767.1_cds_XP_019925991.1_1800	NA	NA	XP_030846593.1	7.61e-17	1752373786	ECB-GENE-23103357	NA	NA	NA	NA	NA	XP_019925991.1	PREDICTED: A-kinase anchor protein 9 isoform X3 [Crassostrea gigas]	0
20819	LOC582174	8.77e-39	0.902719193	1	0.962	1.91e-34	A-kinase anchor protein 9 isoform X1	spu:582174	NA	LOC105336169	A-kinase anchor protein 9	2	0.171189802252716	2.24351453077495	0.701581027667984	0.244005746309505	0.123948667406918	4.57216505027001e-63	1.81878896833721e-57	lcl|NW_011934767.1_cds_XP_019925987.1_1801	NA	NA	XP_030846593.1	7.63e-17	1752373786	ECB-GENE-23103357	NA	NA	NA	NA	NA	XP_019925987.1	PREDICTED: A-kinase anchor protein 9 isoform X1 [Crassostrea gigas]	0
20819	LOC582174	8.77e-39	0.902719193	1	0.962	1.91e-34	A-kinase anchor protein 9 isoform X1	spu:582174	NA	LOC105336169	A-kinase anchor protein 9	2	0.171189802252716	2.24351453077495	0.701581027667984	0.244005746309505	0.123948667406918	4.57216505027001e-63	1.81878896833721e-57	lcl|NW_011934767.1_cds_XP_019925990.1_1802	NA	NA	XP_030846593.1	7.62e-17	1752373786	ECB-GENE-23103357	NA	NA	NA	NA	NA	XP_019925990.1	PREDICTED: golgin subfamily B member 1 isoform X2 [Crassostrea gigas]	0
28335	rps14	7.53e-51	0.89576237	0.645	0.168	1.64e-46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18591	LOC577982	1.06e-32	0.868683779	0.822	0.501	2.32e-28	ubiquitin-like protein FUBI	spu:577982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24962	LOC591874	2.55e-32	0.846624095	0.71	0.337	5.57e-28	60S ribosomal protein L9	spu:591874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3669	LOC100893744	2.1e-35	0.834658071	1	0.977	4.58e-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16548	LOC373342	3.94e-53	0.834578525	1	1	8.61e-49	histone H1, early embryonic	spu:373342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19295	LOC579300	1.76e-29	0.827920167	0.785	0.48	3.83e-25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8191	LOC105447505	3.03e-34	0.821078945	0.617	0.21	6.61e-30	uncharacterized protein LOC105447505 isoform X4	spu:105447505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8085	LOC105447194	1.16e-41	0.817449515	1	0.94	2.53e-37	gamma-aminobutyric acid receptor-associated protein	spu:105447194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18514	LOC577852	1.02e-36	0.814831014	0.935	0.845	2.22e-32	60S ribosomal protein L30 isoform X2	spu:577852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5339	LOC105439885	2.88e-53	0.80488494	0.636	0.134	6.29e-49	zinc metalloproteinase nas-6	spu:105439885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17877	LOC576715	9.65e-32	0.802282664	0.916	0.499	2.11e-27	transcription factor Sp5	spu:576715	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24132	LOC589961	5.19e-29	0.798696485	0.757	0.444	1.13e-24	40S ribosomal protein S25	spu:589961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16863	LOC574860	8.22e-52	0.797474939	0.785	0.215	1.79e-47	serine/threonine-protein kinase B-raf	spu:574860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17794	LOC576570	3.53e-31	0.79408541	0.617	0.224	7.71e-27	ELAV-like protein 3 isoform X4	spu:576570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8081	LOC105447187	1.62e-40	0.786470237	0.645	0.182	3.54e-36	uncharacterized protein LOC105447187	spu:105447187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
278	LOC100888161	4.53e-115	0.779309682	0.467	0.029	9.89e-111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28125	LOC764436	6.85e-30	0.761942647	0.701	0.338	1.5e-25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20795	LOC582130	6.01e-28	0.761488371	0.738	0.418	1.31e-23	eukaryotic translation initiation factor 3 subunit C	spu:582130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24491	LOC590815	1.13e-126	0.761395852	0.495	0.029	2.46e-122	forkhead box protein N3	spu:590815	NA	LOC105317498	uncharacterized LOC105317498	13	0.278962374151511	1.94911119478187	0.949152542372881	0.293906787052485	0.318874189557727	7.20608206184041e-32	2.86655061987187e-26	lcl|NW_011937493.1_cds_XP_011412452.1_36156	sp|P32314|FOXN2_HUMAN	6.11e-12	XP_030855503.1	4.9e-11	1752395174	ECB-GENE-23155322	NA	NA	C25A1.2.2	6.27e-9	fkh-10	XP_011412452.1	PREDICTED: uncharacterized protein LOC105317498 [Crassostrea gigas]	0
24491	LOC590815	1.13e-126	0.761395852	0.495	0.029	2.46e-122	forkhead box protein N3	spu:590815	NA	LOC105317498	uncharacterized LOC105317498	7	0.183453351311565	1.56967474261204	0.735294117647059	0.249496557783728	0.221017548567042	2.34369121696244e-79	9.3231099134279e-74	lcl|NW_011937493.1_cds_XP_011412452.1_36156	sp|P32314|FOXN2_HUMAN	6.11e-12	XP_030855503.1	4.9e-11	1752395174	ECB-GENE-23155322	NA	NA	C25A1.2.2	6.27e-9	fkh-10	XP_011412452.1	PREDICTED: uncharacterized protein LOC105317498 [Crassostrea gigas]	0
22524	LOC586110	6.01e-28	0.758316394	0.664	0.318	1.31e-23	40S ribosomal protein S9	spu:586110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21240	LOC583063	5.92e-24	0.758187409	0.673	0.374	1.29e-19	cyclic AMP-responsive element-binding protein 3-like protein 1	spu:583063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2999	LOC100892641	9.37e-7	0.757806527	0.402	0.253	0.020443202	uncharacterized protein LOC100892641	spu:100892641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21897	LOC584560	1.47e-24	0.757186117	0.879	0.746	3.21e-20	60S ribosomal protein L37a	spu:584560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19733	LOC580083	1.58e-42	0.750446922	1	0.943	3.46e-38	uncharacterized protein LOC580083 isoform X1	spu:580083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17840	LOC576658	1.87e-24	0.748374807	0.748	0.491	4.08e-20	40S ribosomal protein S20	spu:576658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4803	LOC105438574	4.77e-58	0.743714066	0.757	0.164	1.04e-53	formin-like protein 14	spu:105438574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20310	LOC581196	1.84e-28	0.739217744	0.664	0.311	4.01e-24	40S ribosomal protein S13	spu:581196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5832	LOC105441189	3.34e-23	0.736167806	0.776	0.548	7.29e-19	40S ribosomal protein S21	spu:105441189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20611	LOC581803	1.64e-30	0.730200474	0.598	0.222	3.57e-26	60S ribosomal protein L11	spu:581803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25686	LOC593520	1.32e-47	0.729284517	0.944	0.405	2.89e-43	transcription factor SOX-4	spu:593520	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26227	LOC752135	1.88e-27	0.722935197	0.729	0.4	4.11e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1917	LOC100890824	1.97e-80	0.711508192	0.467	0.045	4.29e-76	RNA binding protein fox-1 homolog 3 isoform X1	spu:100890824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21926	LOC584662	3.24e-28	0.696222764	0.785	0.49	7.06e-24	coiled-coil domain-containing protein 92	spu:584662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25938	LOC594182	1.95e-23	0.695406519	0.738	0.489	4.26e-19	protein Jade-1	spu:594182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21119	LOC582822	3.8e-18	0.686996013	0.72	0.511	8.28e-14	eukaryotic translation initiation factor 5	spu:582822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21781	LOC584322	1.07e-16	0.677087105	0.72	0.541	2.34e-12	cytoplasmic polyadenylation element-binding protein 2 isoform X2	spu:584322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2968	LOC100892571	1.85e-6	0.676536915	0.336	0.189	0.040278185	uncharacterized protein LOC100892571	spu:100892571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21103	LOC582795	2.96e-20	0.67411078	0.589	0.304	6.45e-16	protein CASC1 isoform X1	spu:582795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18951	LOC578650	3.25e-35	0.668660706	1	0.94	7.09e-31	putative leucine-rich repeat-containing protein DDB_G0290503 isoform X1	spu:578650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18690	LOC578158	1.69e-21	0.664144693	0.654	0.382	3.68e-17	40S ribosomal protein S19	spu:578158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3604	LOC100893636	1.94e-15	0.661581544	0.673	0.476	4.23e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16559	LOC373354	1.87e-19	0.658131987	0.748	0.561	4.08e-15	histone H1-beta, late embryonic	spu:373354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23947	LOC589555	4.64e-24	0.652277237	0.972	0.889	1.01e-19	armadillo repeat-containing protein 4	spu:589555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25169	LOC592324	6.53e-18	0.651947632	0.579	0.321	1.42e-13	uncharacterized protein LOC592324	spu:592324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24929	LOC591809	8.45e-20	0.646155062	0.542	0.255	1.84e-15	60S ribosomal protein L35	spu:591809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24351	LOC590481	1.55e-16	0.645900047	0.692	0.497	3.38e-12	eukaryotic translation initiation factor 2 subunit 2	spu:590481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
